CourtName,Area,DayOfHearing,DayPrinted,DateDifferenceHearingToResult,ResultType,DayOfPreviousCheck,AMPMofPreviousCheck,BestPredDay,BestPredAMPM,DateDifbetweenPrintingAndLastCheck
Westminster,B,Saturday,Wednesday,4,Adjournment,Null,Null,Tuesday,PM,NotCheckedBefore
Westminster,B,Saturday,Wednesday,4,Bailconditions,Null,Null,Tuesday,PM,NotCheckedBefore
Westminster,L,Saturday,Wednesday,4,Bailconditions,Null,Null,Tuesday,PM,NotCheckedBefore
BrightonandHove,H,Monday,Thursday,3,Adjournment,Wednesday,AM,Tuesday,PM,1
Southend,B,Monday,Thursday,3,Warrant,Wednesday,AM,Tuesday,PM,1
Southend,B,Monday,Thursday,3,Result,Wednesday,AM,Tuesday,PM,1
Basildon,B,Monday,Thursday,24,Adjournment,Thursday,AM,Wednesday,PM,7
Blackfriars,B,Monday,Thursday,3,Adjournment,Wednesday,AM,Tuesday,PM,1
BrightonandHove,H,Monday,Thursday,3,Result,Wednesday,AM,Tuesday,PM,1
Tottenham,L,Monday,Thursday,10,Result,Wednesday,AM,Tuesday,PM,1
Canterbury,H,Monday,Monday,7,Adjournment,Thursday,AM,Tuesday,AM,4
Tottenham,L,Monday,Thursday,10,Adjournment,Wednesday,AM,Tuesday,PM,1
Folkestone,H,Monday,Thursday,3,Adjournment,Wednesday,AM,Tuesday,PM,1
Medway,H,Monday,Thursday,3,Bailconditions,Wednesday,AM,Tuesday,PM,1
Maidstone,H,Monday,Thursday,3,Bailconditions,Wednesday,AM,Tuesday,PM,1
Canterbury,H,Monday,Thursday,3,Warrant,Wednesday,AM,Tuesday,PM,1
Blackfriars,H,Monday,Monday,14,Result,Friday,AM,Unknown,Unknown,3
Canterbury,H,Monday,Tuesday,8,Adjournment,Monday,AM,Sunday,PM,1
Blackfriars,H,Monday,Friday,32,Adjournment,Thursday,PM,Thursday,AM,8
Snaresbrook,L,Monday,Monday,7,Bailconditions,Wednesday,PM,Wednesday,AM,5
Basildon,L,Monday,Tuesday,1,Adjournment,Null,Null,Tuesday,AM,NotCheckedBefore
Snaresbrook,B,Monday,Tuesday,1,Adjournment,Null,Null,Tuesday,AM,NotCheckedBefore
Hammersmith,B,Monday,Wednesday,2,Adjournment,Null,Null,Tuesday,PM,NotCheckedBefore
Cambridge,B,Monday,Wednesday,2,Bailconditions,Null,Null,Tuesday,PM,NotCheckedBefore
Croydon,H,Monday,Wednesday,2,Bailconditions,Null,Null,Tuesday,PM,NotCheckedBefore
Margate,H,Monday,Wednesday,2,Bailconditions,Null,Null,Tuesday,PM,NotCheckedBefore
Westminster,L,Monday,Wednesday,2,Result,Null,Null,Tuesday,PM,NotCheckedBefore
Westminster,B,Monday,Wednesday,2,Result,Null,Null,Tuesday,PM,NotCheckedBefore
Westminster,L,Monday,Wednesday,2,Result,Null,Null,Tuesday,PM,NotCheckedBefore
Westminster,L,Monday,Wednesday,2,Result,Null,Null,Tuesday,PM,NotCheckedBefore
Westminster,L,Monday,Wednesday,2,Result,Null,Null,Tuesday,PM,NotCheckedBefore
Westminster,L,Monday,Wednesday,2,Adjournment,Null,Null,Tuesday,PM,NotCheckedBefore
Westminster,L,Monday,Wednesday,2,Adjournment,Null,Null,Tuesday,PM,NotCheckedBefore
Westminster,H,Monday,Wednesday,2,Adjournment,Null,Null,Tuesday,PM,NotCheckedBefore
Westminster,L,Monday,Wednesday,2,Adjournment,Null,Null,Tuesday,PM,NotCheckedBefore
Westminster,L,Monday,Wednesday,2,Adjournment,Null,Null,Tuesday,PM,NotCheckedBefore
Westminster,L,Monday,Wednesday,2,Adjournment,Null,Null,Tuesday,PM,NotCheckedBefore
Westminster,H,Monday,Wednesday,2,Adjournment,Null,Null,Tuesday,PM,NotCheckedBefore
Westminster,H,Monday,Wednesday,2,Bailconditions,Null,Null,Tuesday,PM,NotCheckedBefore
Westminster,L,Monday,Wednesday,2,Bailconditions,Null,Null,Tuesday,PM,NotCheckedBefore
Westminster,L,Monday,Wednesday,2,Bailconditions,Null,Null,Tuesday,PM,NotCheckedBefore
Westminster,L,Monday,Wednesday,2,Bailconditions,Null,Null,Tuesday,PM,NotCheckedBefore
Croydon,H,Monday,Wednesday,2,Adjournment,Null,Null,Tuesday,PM,NotCheckedBefore
Hammersmith,L,Monday,Wednesday,2,Result,Null,Null,Tuesday,PM,NotCheckedBefore
Reading,B,Monday,Wednesday,2,Result,Null,Null,Tuesday,PM,NotCheckedBefore
EastBerkshire,B,Monday,Wednesday,2,Bailconditions,Null,Null,Tuesday,PM,NotCheckedBefore
Hammersmith,L,Monday,Thursday,3,Result,Null,Null,Wednesday,PM,NotCheckedBefore
StAlbans,B,Monday,Thursday,3,Bailconditions,Null,Null,Wednesday,PM,NotCheckedBefore
StAlbans,B,Monday,Thursday,3,Bailconditions,Null,Null,Wednesday,PM,NotCheckedBefore
StAlbans,B,Monday,Thursday,3,Bailconditions,Null,Null,Wednesday,PM,NotCheckedBefore
StAlbans,B,Monday,Thursday,3,Bailconditions,Null,Null,Wednesday,PM,NotCheckedBefore
Southend,B,Monday,Friday,4,Adjournment,Null,Null,Thursday,PM,NotCheckedBefore
LavenderHill,H,Tuesday,Friday,3,Adjournment,Thursday,AM,Wednesday,PM,1
Colchester,B,Tuesday,Monday,6,Result,Thursday,AM,Tuesday,AM,4
BrightonandHove,H,Tuesday,Friday,3,Warrant,Thursday,AM,Wednesday,PM,1
Eastbourne,H,Tuesday,Friday,3,Adjournment,Thursday,AM,Wednesday,PM,1
Crawley,H,Tuesday,Friday,3,Adjournment,Thursday,AM,Wednesday,PM,1
Croydon,H,Tuesday,Friday,3,Result,Thursday,AM,Wednesday,PM,1
CamberwellGreen,H,Tuesday,Friday,3,Result,Thursday,AM,Wednesday,PM,1
Willesden,L,Tuesday,Friday,3,Adjournment,Thursday,AM,Wednesday,PM,1
LavenderHill,H,Tuesday,Friday,3,Result,Thursday,AM,Wednesday,PM,1
CamberwellGreen,H,Tuesday,Friday,3,Adjournment,Thursday,AM,Wednesday,PM,1
WestNorfolk,B,Tuesday,Friday,3,Adjournment,Thursday,AM,Wednesday,PM,1
Uxbridge,B,Tuesday,Monday,6,Bailconditions,Friday,AM,Wednesday,AM,3
Uxbridge,B,Tuesday,Monday,6,Result,Friday,AM,Wednesday,AM,3
Maidstone,H,Tuesday,Monday,6,Warrant,Friday,AM,Wednesday,AM,3
Dartford,H,Tuesday,Monday,6,Result,Friday,AM,Wednesday,AM,3
Dartford,B,Tuesday,Monday,6,Result,Friday,AM,Wednesday,AM,3
Sevenoaks,H,Tuesday,Monday,6,Result,Friday,AM,Wednesday,AM,3
Aylesbury,B,Tuesday,Monday,6,Adjournment,Thursday,AM,Tuesday,AM,4
Sevenoaks,H,Tuesday,Tuesday,7,Result,Monday,AM,Sunday,PM,1
Basildon,B,Tuesday,Friday,3,Result,Wednesday,PM,Wednesday,AM,2
Oxford,B,Tuesday,Thursday,2,Result,Null,Null,Wednesday,PM,NotCheckedBefore
WestSuffolk,B,Tuesday,Thursday,2,Result,Null,Null,Wednesday,PM,NotCheckedBefore
NorthEastSuffolk,B,Tuesday,Thursday,2,Result,Null,Null,Wednesday,PM,NotCheckedBefore
Hendon,B,Tuesday,Thursday,2,Bailconditions,Null,Null,Wednesday,PM,NotCheckedBefore
Hendon,B,Tuesday,Thursday,2,Bailconditions,Null,Null,Wednesday,PM,NotCheckedBefore
Chelmsford,B,Tuesday,Thursday,2,Bailconditions,Null,Null,Wednesday,PM,NotCheckedBefore
Chelmsford,B,Tuesday,Thursday,2,Bailconditions,Null,Null,Wednesday,PM,NotCheckedBefore
Chelmsford,B,Tuesday,Thursday,2,Bailconditions,Null,Null,Wednesday,PM,NotCheckedBefore
Chelmsford,B,Tuesday,Thursday,2,Bailconditions,Null,Null,Wednesday,PM,NotCheckedBefore
Thames,L,Tuesday,Thursday,2,Result,Null,Null,Wednesday,PM,NotCheckedBefore
Snaresbrook,B,Tuesday,Thursday,2,Result,Null,Null,Wednesday,PM,NotCheckedBefore
Ealing,L,Tuesday,Thursday,2,Result,Null,Null,Wednesday,PM,NotCheckedBefore
Hendon,L,Tuesday,Friday,3,Adjournment,Null,Null,Friday,AM,NotCheckedBefore
Bexley,H,Tuesday,Tuesday,7,Result,Null,Null,Monday,PM,NotCheckedBefore
Sevenoaks,H,Wednesday,Wednesday,7,Adjournment,Tuesday,AM,Monday,PM,1
Croydon,H,Wednesday,Monday,5,Result,Friday,AM,Wednesday,AM,3
BrightonandHove,H,Wednesday,Monday,5,Bailconditions,Friday,AM,Wednesday,AM,3
Maidstone,H,Wednesday,Monday,5,Adjournment,Friday,AM,Wednesday,AM,3
Guildford,H,Wednesday,Monday,5,Adjournment,Friday,AM,Wednesday,AM,3
Willesden,L,Wednesday,Monday,5,Adjournment,Friday,AM,Wednesday,AM,3
